symbol,hist_total_trades,hist_win_rate,hist_avg_pnl,hist_avg_score,hist_strength_score
ESS,505,0.8198,0.0292,0.8108,4.2595
WBS,694,0.7723,0.0394,0.8107,4.2591
BRO,529,0.8034,0.0302,0.8201,4.2580
CPB,719,0.7747,0.0265,0.8137,4.2573
GEF,499,0.8076,0.0385,0.8167,4.2571
ROST,788,0.7551,0.0412,0.8116,4.2565
SDR.L,583,0.7942,0.0368,0.8114,4.2556
GRMN,437,0.8215,0.0412,0.8180,4.2554
QCOM,673,0.7682,0.0481,0.8114,4.2548
OZK,557,0.7989,0.0394,0.8101,4.2548
STJ.L,598,0.7893,0.0428,0.8083,4.2545
TTWO,552,0.7880,0.0551,0.8100,4.2529
KMB,607,0.7974,0.0248,0.8119,4.2526
MCHP,629,0.7758,0.0490,0.8106,4.2520
MCK,524,0.7996,0.0352,0.8198,4.2504
CL,754,0.7732,0.0261,0.8083,4.2494
NOV,567,0.7831,0.0500,0.8149,4.2494
BYD,656,0.7591,0.0570,0.8162,4.2491
SDF.DE,535,0.7944,0.0420,0.8165,4.2474
ESCT.L,491,0.8248,0.0246,0.8108,4.2473
EN.PA,632,0.7832,0.0355,0.8117,4.2465
CACI,774,0.7558,0.0385,0.8132,4.2464
KEY,704,0.7713,0.0347,0.8113,4.2463
SGI,425,0.8165,0.0533,0.8155,4.2462
WEIR.L,589,0.7912,0.0403,0.8086,4.2459
UGI,572,0.8059,0.0262,0.8081,4.2448
MHK,593,0.7791,0.0433,0.8176,4.2447
AJG,593,0.7943,0.0289,0.8130,4.2433
DVA,515,0.8039,0.0381,0.8141,4.2432
MAN,671,0.7750,0.0371,0.8110,4.2431
SMCI,386,0.8083,0.0724,0.8215,4.2429
WEC,583,0.8096,0.0224,0.8046,4.2425
JEN.DE,536,0.7929,0.0467,0.8131,4.2416
IRM,509,0.8075,0.0342,0.8146,4.2412
WWD,656,0.7744,0.0379,0.8133,4.2407
LONN.SW,484,0.8202,0.0323,0.8097,4.2399
CROX,391,0.8056,0.0708,0.8230,4.2394
INTU,639,0.7762,0.0442,0.8093,4.2384
CTSH,471,0.8089,0.0499,0.8105,4.2382
EMG.L,586,0.7867,0.0408,0.8119,4.2382
T,641,0.7847,0.0286,0.8121,4.2374
TUI1.DE,556,0.7896,0.0486,0.8094,4.2373
COF,605,0.7785,0.0467,0.8115,4.2367
RNR,479,0.8184,0.0315,0.8127,4.2357
NDSN,675,0.7763,0.0336,0.8097,4.2337
ORLY,598,0.7876,0.0383,0.8094,4.2335
ALV.DE,478,0.8201,0.0369,0.8066,4.2330
MMM,798,0.7694,0.0250,0.8030,4.2327
CCI,501,0.7964,0.0505,0.8135,4.2323
BGFD.L,467,0.8180,0.0272,0.8192,4.2320
AC.PA,498,0.8072,0.0343,0.8158,4.2312
SSD,550,0.7909,0.0359,0.8182,4.2310
MSM,525,0.7943,0.0419,0.8160,4.2307
WAT,506,0.8024,0.0385,0.8151,4.2306
WST,625,0.7808,0.0272,0.8191,4.2305
GPC,662,0.7870,0.0270,0.8056,4.2300
ZION,740,0.7581,0.0396,0.8122,4.2300
BC8.DE,514,0.7977,0.0405,0.8161,4.2297
CBRE,391,0.8286,0.0555,0.8097,4.2290
ASGN,664,0.7605,0.0538,0.8116,4.2280
ENI.MI,522,0.8103,0.0299,0.8093,4.2277
IMI.L,586,0.7918,0.0357,0.8085,4.2272
EMN,529,0.8034,0.0371,0.8085,4.2258
CAP.PA,485,0.8041,0.0432,0.8142,4.2254
FRE.DE,452,0.8230,0.0362,0.8101,4.2252
CNC,433,0.8222,0.0417,0.8122,4.2247
PLD,461,0.8200,0.0354,0.8110,4.2244
PFE,902,0.7417,0.0299,0.8125,4.2241
MLM,557,0.7864,0.0379,0.8182,4.2233
TPR,479,0.8038,0.0463,0.8134,4.2229
GIS,683,0.7775,0.0238,0.8127,4.2224
PSN.L,630,0.7730,0.0406,0.8139,4.2211
ON,538,0.7695,0.0636,0.8199,4.2205
XEL,595,0.7966,0.0260,0.8080,4.2202
AMED,558,0.7778,0.0532,0.8143,4.2200
KEX,629,0.7806,0.0341,0.8109,4.2193
NXST,445,0.7955,0.0663,0.8153,4.2187
SRPT,551,0.7514,0.0885,0.8170,4.2187
FFIV,529,0.7845,0.0537,0.8135,4.2183
HOLX,750,0.7480,0.0504,0.8108,4.2180
UAL,391,0.8056,0.0726,0.8174,4.2175
EQR,505,0.8099,0.0306,0.8113,4.2166
TJX,694,0.7637,0.0373,0.8133,4.2163
BF-B,601,0.7903,0.0260,0.8123,4.2160
AIG,664,0.7711,0.0357,0.8121,4.2157
LH,567,0.7848,0.0396,0.8146,4.2155
TEM.L,464,0.8233,0.0286,0.8105,4.2154
MMC,615,0.7821,0.0292,0.8152,4.2151
VTY.L,573,0.7784,0.0408,0.8190,4.2151
BWY.L,624,0.7804,0.0348,0.8107,4.2147
HIG,469,0.8060,0.0432,0.8147,4.2146
EVRG,548,0.8120,0.0240,0.8034,4.2140
ENT.L,352,0.7670,0.1502,0.8142,4.2139
CIEN,587,0.7581,0.0678,0.8164,4.2139
AEP,813,0.7614,0.0231,0.8069,4.2127
HOLN.SW,378,0.8386,0.0392,0.8139,4.2115
OXY,753,0.7596,0.0349,0.8084,4.2109
CF,417,0.8129,0.0543,0.8139,4.2103
BTRW.L,600,0.7900,0.0422,0.7989,4.2090
IFF,679,0.7732,0.0268,0.8126,4.2077
EEFT,534,0.7865,0.0503,0.8106,4.2065
STMPA.PA,471,0.8025,0.0459,0.8139,4.2064
HEI.DE,513,0.8031,0.0384,0.8078,4.2053
CINF,541,0.8004,0.0308,0.8097,4.2053
